组件库	src/views/label/template/components/LabelTemplateEditor.vue:7 [attr:title], src/views/label/template/components/LabelTemplateEditor.vue:11 [text]
最后登录时间	src/views/system/online/index.vue:108 [script], src/views/system/user/components/UserDetail.vue:46 [attr:label]
B端	src/views/system/menu/index.vue:6 [attr:tab], src/views/system/online/index.vue:81 [script]
C端	src/views/system/menu/index.vue:7 [attr:tab], src/views/system/online/index.vue:82 [script]
IP 地址	src/views/system/dashboard/index.vue:355 [script], src/views/system/operationLog/index.vue:165 [script]
版本	src/views/system/i18nMessage/index.vue:139 [script]
半成品管理	src/views/basic/material/semi-finished/index.vue:6 [text]
绑定维度（智能匹配使用）	src/views/label/print/index.vue:45 [text]
包装编码	src/views/basic/packaging/index.vue:160 [script]
包装材料	src/views/basic/packaging/index.vue:162 [script]
包装方式管理	src/views/basic/packaging/index.vue:6 [text]
包装名称	src/views/basic/packaging/index.vue:161 [script]
报表 ID	src/views/report/index.vue:146 [script]
报表分类	src/views/report/components/ReportForm.vue:47 [attr:label]
报表状态	src/views/report/components/ReportForm.vue:68 [attr:label]
本科	src/views/system/user/components/UserProfileForm.vue:37 [text]
币种与汇率管理	src/views/basic/currency/index.vue:6 [text]
币种主数据	src/views/basic/currency/index.vue:17 [attr:tab]
编码	src/views/auth/init-wizard/index.vue:227 [script]
标签打印	src/views/label/print/index.vue:3 [attr:title]
表格名称	src/views/system/userTableConfig/index.vue:215 [script]
博士	src/views/system/user/components/UserProfileForm.vue:39 [text]
补偿中心	src/views/workflow/governance/compensation/index.vue:15 [attr:message]
不选则自动匹配	src/views/label/print/index.vue:22 [attr:placeholder]
操作类型	src/views/system/operationLog/index.vue:158 [script]
操作模块	src/views/system/dashboard/index.vue:320 [script]
操作内容	src/views/system/dashboard/index.vue:326 [script]
测试	src/views/auth/init-wizard/index.vue:66 [text]
查询	src/views/system/operationLog/index.vue:140 [script]
成品管理	src/views/basic/material/finished/index.vue:6 [text]
初始密码	src/views/auth/init-wizard/index.vue:19 [text]
初始值是第一个流水号，流水位数不足时会补零，例如初始值 1、位数 6 会生成 000001。	src/views/system/encodeRule/components/EncodeRuleFormDialog.vue:158 [text]
初中	src/views/system/user/components/UserProfileForm.vue:33 [text]
此值用于所有用户初始密码，重置密码将恢复为此值	src/views/auth/init-wizard/index.vue:20 [text]
打印	src/views/label/print/index.vue:91 [text]
